Date,Inflation
2004-01-01 00:00:00,1.3
2004-04-01 00:00:00,1.4
2004-07-01 00:00:00,1.3
2004-10-01 00:00:00,1.4
2005-01-01 00:00:00,1.7
2005-04-01 00:00:00,2
2005-07-01 00:00:00,2.4
2005-10-01 00:00:00,2.1
2006-01-01 00:00:00,1.9
2006-04-01 00:00:00,2.3
2006-07-01 00:00:00,2.4
2006-10-01 00:00:00,2.7
2007-01-01 00:00:00,2.9
2007-04-01 00:00:00,2.6
2007-07-01 00:00:00,1.8
2007-10-01 00:00:00,2.1
2008-01-01 00:00:00,2.4
2008-04-01 00:00:00,3.4
2008-07-01 00:00:00,4.8
2008-10-01 00:00:00,3.9
2009-01-01 00:00:00,3
2009-04-01 00:00:00,2.1
2009-07-01 00:00:00,1.5
2009-10-01 00:00:00,2.1
2010-01-01 00:00:00,3.3
2010-04-01 00:00:00,3.5
2010-07-01 00:00:00,3.1
2010-10-01 00:00:00,3.4
2011-01-01 00:00:00,4.1
2011-04-01 00:00:00,4.4
2011-07-01 00:00:00,4.7
2011-10-01 00:00:00,4.6
2012-01-01 00:00:00,3.5
2012-04-01 00:00:00,2.8
2012-07-01 00:00:00,2.4
2012-10-01 00:00:00,2.7
2013-01-01 00:00:00,2.8
2013-04-01 00:00:00,2.7
2013-07-01 00:00:00,2.7
2013-10-01 00:00:00,2.1
2014-01-01 00:00:00,1.7
2014-04-01 00:00:00,1.7
2014-07-01 00:00:00,1.5
2014-10-01 00:00:00,0.9
2015-01-01 00:00:00,0.1
2015-04-01 00:00:00,0
2015-07-01 00:00:00,0
2015-10-01 00:00:00,0.1
2016-01-01 00:00:00,0.3
2016-04-01 00:00:00,0.4
2016-07-01 00:00:00,0.7
2016-10-01 00:00:00,1.2
2017-01-01 00:00:00,2.1
2017-04-01 00:00:00,2.7
2017-07-01 00:00:00,2.8
2017-10-01 00:00:00,3
2018-01-01 00:00:00,2.7
2018-04-01 00:00:00,2.4
2018-07-01 00:00:00,2.5
2018-10-01 00:00:00,2.3
2019-01-01 00:00:00,1.9
2019-04-01 00:00:00,2
2019-07-01 00:00:00,1.8
2019-10-01 00:00:00,1.4
2020-01-01 00:00:00,1.7
2020-04-01 00:00:00,0.6
2020-07-01 00:00:00,0.6
2020-10-01 00:00:00,0.5
2021-01-01 00:00:00,0.6
2021-04-01 00:00:00,2.1
2021-07-01 00:00:00,2.8
2021-10-01 00:00:00,4.9
2022-01-01 00:00:00,6.2
2022-04-01 00:00:00,9.2
